Buyer;BuyerSubSector;Client;ClientSubSector;NDeals;NumberOfNDAPerBuyerInSubSector;NumberOfGosPerBuyerInSubSector;NumberOfGosPerSizeInSubSector;NumberOfNBOperDealsInSubSector;AverageSizePerDealInSubSector;MedianSizePerDealInSubSector;NBOLastDatePerDealInSubSector;DealClosePerClientSector;LastDateCloseDealPerInSubSector;MostRecentContact;IsEqual
Verizon;Serviços de Telecom (ISPs);Suntech;IT Services;1;0;1;0;0;;;;0;11/02/2022 00:00;;false
Vero Internet;Infraestrutura de Telecom;Beta Learning;IT Services;1;0;1;0;0;150;150;;1;11/02/2022 00:00;malbernaz@verointernet.com.br;false
Versa Electronics;Serviços de Engenharia e TIC;Hi-Mix;Serviços de Engenharia e TIC;1;0;0;0;0;400;400;;0;27/04/2022 00:00;;true
Versant Ventures;Dental & Medical devices (produção e distribuição);Plenum 2022;Dental & Medical devices (produção e distribuição);2;0;0;0;0;100;100;;0;03/06/2022 00:00;amayweg@versantventures.com;true
Versant Ventures;Dental & Medical devices (produção e distribuição);Plenum;Dental & Medical devices (produção e distribuição);2;0;0;0;0;100;100;;0;03/06/2022 00:00;amayweg@versantventures.com;true
Vertellus Specialties;Industria e distribuição de Químicos & Ingredientes;Citróleo;Industria e distribuição de Químicos & Ingredientes;2;0;0;0;0;75;75;;0;01/12/2021 00:00;;true
Vertellus Specialties;Industria e distribuição de Químicos & Ingredientes;Azevedo Óleos;Mercearia Seca. Condimentos e Produtos Saudáveis;2;0;0;0;0;450;450;;0;;;false
Vertex;;E-law 2021;Software;1;0;0;0;0;;;;0;04/04/2022 00:00;;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Kapa Pavimentação;Serviços de Engenharia e TIC;9;1;1;0;0;135;135;;0;27/04/2022 00:00;jorge.maluf@verzani.com.br;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Grupo Services;Serviços Terceirizados (limpeza. segurança e catering);9;0;1;0;0;100;100;;0;24/06/2022 00:00;jorge.maluf@verzani.com.br;true
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Veolink;IT Services;9;0;1;0;0;800;800;;0;11/02/2022 00:00;jorge.maluf@verzani.com.br;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Take and Go;Varejo Especializado;9;0;1;0;0;150;150;;0;25/02/2022 00:00;jorge.maluf@verzani.com.br;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Interação Resíduos;Gestão de residuos e aterros;9;0;1;1;0;80;80;;0;;jorge.maluf@verzani.com.br;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);MedMais;Serviços Terceirizados (limpeza. segurança e catering);9;0;1;0;0;100;100;;0;24/06/2022 00:00;jorge.maluf@verzani.com.br;true
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Automalógica;Serviços de Engenharia e TIC;9;1;1;0;0;135;135;;0;27/04/2022 00:00;jorge.maluf@verzani.com.br;false
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Esquadra;Serviços Terceirizados (limpeza. segurança e catering);9;0;1;0;0;100;100;;0;24/06/2022 00:00;jorge.maluf@verzani.com.br;true
Verzani & Sandrini Serviços;Serviços Terceirizados (limpeza. segurança e catering);Algar Tech 2021;IT Services;9;0;1;0;0;800;800;;0;11/02/2022 00:00;jorge.maluf@verzani.com.br;false
Vesta Software;SaaS - Generalistas;SmartNX;Software;1;0;1;0;0;80;80;;0;04/04/2022 00:00;jeronimo.alvarez@vestasoftwaregroup.com;false
Vesta Trust;Asset Management;Vortx;Fintech;1;0;1;0;0;;;;1;31/08/2021 00:00;;false
Vetoquinol;;Noxon;Saúde animal;1;0;0;0;0;120;120;;0;;jorge.espanha@vetoquinol.com;false
Via Varejo;Supermercados e Atacadistas;E-Commerce Brasil;Consulting;27;0;1;0;0;40;40;;0;31/03/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Beta Learning;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Studio Sol;Geração de conteúdo e Publicações;27;0;0;0;0;;;;0;04/01/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;BxBlue;Fintech;27;0;1;0;0;100;100;;0;31/08/2021 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Prime Energy;Energia;27;0;1;0;0;;;;0;;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Hartb;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Arklok;Locação de Ativos;27;0;1;0;0;120;120;;0;;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;iByte;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Plié;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Buson (Guichê Virtual);Marketplace Diversos;27;0;0;0;0;90;90;;0;02/07/2021 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Take and Go;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Irroba;Marketplace Diversos;27;0;0;0;0;90;90;;0;02/07/2021 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Max Milhas;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;BR Media;Marketing Services;27;0;1;0;0;160;160;;0;26/05/2021 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;LinkApi;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Banco Rendimento;Bancos Tradicionais;27;0;1;1;0;;;;0;;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Casa Amazing;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Squadra IT;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Bel Cosméticos;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Kiko's;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Framework;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;TM1;Marketing Services;27;0;1;0;0;160;160;;0;26/05/2021 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Pixit;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Ioasys;IT Services;27;1;7;1;0;158.57;150;;3;11/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Lucree;Meios de Pagamento;27;0;1;0;0;;;;0;14/04/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;Projeto Flores;Varejo Especializado;27;0;5;0;0;175;125;;0;25/02/2022 00:00;hamza@viavarejo.com.br;false
Via Varejo;Supermercados e Atacadistas;SmartNX;Software;27;0;1;0;0;80;80;;0;04/04/2022 00:00;hamza@viavarejo.com.br;false
Viacom Inc.;Geração de conteúdo e Publicações;TM1;Marketing Services;3;0;0;0;0;120;120;;0;26/05/2021 00:00;iferreira@mtv.com;false
Viacom Inc.;Geração de conteúdo e Publicações;Ioasys;IT Services;3;0;2;0;0;175;175;;1;11/02/2022 00:00;iferreira@mtv.com;false
Viacom Inc.;Geração de conteúdo e Publicações;Kunumi;IT Services;3;0;2;0;0;175;175;;1;11/02/2022 00:00;iferreira@mtv.com;false
Vicat Group;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Emal;Fertilizantes. especiais. químicos e sementes OLD;1;0;1;0;0;;;;1;23/03/2021 00:00;;false
Vice Media. LLC;Geração de conteúdo e Publicações;Studio Sol;Geração de conteúdo e Publicações;1;0;1;0;0;;;;0;04/01/2022 00:00;fernanda.delamare@vice.com;true
Victoria PLC;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Porto Brasil 2021;Materiais Básicos e Produtos para Construção (Indústria e Varejo);1;0;1;0;0;;;;0;;;true
Vicunha Têxtil;;Jangadeiro Têxtil;Materiais Básicos e Produtos para Construção (Indústria e Varejo);2;0;0;0;0;300;300;;0;;;false
Vicunha Têxtil;;Tecnotextil;Varejo Especializado;2;0;0;0;0;200;200;;0;25/02/2022 00:00;;false
Videolar;;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;1;0;1;0;0;;;;0;01/12/2021 00:00;;false
Vigon International;Industria e distribuição de Químicos & Ingredientes;Citróleo;Industria e distribuição de Químicos & Ingredientes;1;0;0;0;0;75;75;;0;01/12/2021 00:00;;true
Vigor;Lácteos. sorvetes e refrigerados;Bela Vista 2018;Mercearia Seca. Condimentos e Produtos Saudáveis;3;0;0;0;0;;;;0;;anderson.rezende@vigor.com.br;false
Vigor;Lácteos. sorvetes e refrigerados;De Bev;Bebidas;3;0;0;0;0;100;100;;0;21/09/2021 00:00;anderson.rezende@vigor.com.br;false
Vigor;Lácteos. sorvetes e refrigerados;Doce Mineiro;Lácteos. sorvetes e refrigerados;3;0;1;0;0;;;;0;;anderson.rezende@vigor.com.br;true
VikStar Contact Center S/A;;Liderança;Serviços de Engenharia e TIC;1;0;1;0;0;;;;1;27/04/2022 00:00;luis.anchieta@vikstar.com;false
Vikudha Overseas;Industria e distribuição de Químicos & Ingredientes;BSC Químicos;Industria e distribuição de Químicos & Ingredientes;1;0;0;0;0;300;300;;0;01/12/2021 00:00;;true
Vila Nova Atacado;Supermercados e Atacadistas;JTC Distribuidora;Mercearia Seca. Condimentos e Produtos Saudáveis;1;0;0;0;0;150;150;;0;;leonardo.severini@vilanova.com.br;false
Vila Rica Capital;Hotelaria;Recebíveis NYC | Hotel Pirâmide (Recebíveis);Hotelaria;1;0;1;0;0;;;;0;;rk@vilaricacapital.com.br;true
Villares Metals;Indústria Pesada. Máquinas e Equipamentos;Libra Ligas;Indústria Pesada. Máquinas e Equipamentos;1;0;0;0;0;500;500;;0;06/05/2021 00:00;armin.wuzella@villaresmetals.com.br;true
Villefort Atacadista (Atacarejo);Supermercados e Atacadistas;JTC Distribuidora;Mercearia Seca. Condimentos e Produtos Saudáveis;1;0;0;0;0;150;150;;0;;joao.oliveira@villefort.com.br;false
Villeroy & Bloch;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Porto Brasil 2021;Materiais Básicos e Produtos para Construção (Indústria e Varejo);2;0;2;0;0;100;100;;0;;markus.warncke@villeroy-boch.com;true
Villeroy & Bloch;Materiais Básicos e Produtos para Construção (Indústria e Varejo);Porto Brasil;Materiais Básicos e Produtos para Construção (Indústria e Varejo);2;0;2;0;0;100;100;;0;;markus.warncke@villeroy-boch.com;true
Vilma Alimentos;Mercearia Seca. Condimentos e Produtos Saudáveis;Vitao Alimentos;Mercearia Seca. Condimentos e Produtos Saudáveis;2;0;0;0;0;150;150;;0;;tcosta@vilma.com.br;true
Vilma Alimentos;Mercearia Seca. Condimentos e Produtos Saudáveis;Bela Vista 2018;Mercearia Seca. Condimentos e Produtos Saudáveis;2;0;0;0;0;150;150;;0;;tcosta@vilma.com.br;true
Vilmorin & Cie;Fertilizantes & Defensivos;Bioagro;Distribuição Agro;1;0;1;0;0;;;;0;16/02/2022 00:00;;false
Vinamilk;Lácteos. sorvetes e refrigerados;Doce Mineiro;Lácteos. sorvetes e refrigerados;1;0;0;0;0;;;;0;;stran@vinamilk.com.vn;true
Vinci Capital Partners (controle);Asset Management;Halipar;Restaurantes & Delivery;111;0;1;0;0;200;200;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;DMCard 2020;Meios de Pagamento;111;1;0;0;1;350;350;07/04/2021 00:00;1;14/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Hartb;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Benner;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Automalógica;Serviços de Engenharia e TIC;111;2;1;0;0;120;120;;1;27/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Plastilit SA;Industria e distribuição de Químicos & Ingredientes;111;0;2;1;0;;;;0;01/12/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Lola Cosmetics;Produtos de Uso Pessoal e Cosméticos;111;0;0;0;1;800;800;15/10/2021 17:54;0;15/10/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Plié;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Lavrobras;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Appmax;Meios de Pagamento;111;1;0;0;1;350;350;07/04/2021 00:00;1;14/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;BR Med;Clínicas. Hospitais e Centros de Tratamento;111;1;2;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;111;0;1;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Angá Asset Management;Asset Management;111;4;3;0;2;256;250;22/07/2021 17:07;2;23/06/2022 00:00;rrodrigues@vincipartners.com;true
Vinci Capital Partners (controle);Asset Management;Sankhya;Software;111;2;3;2;0;375;375;;2;04/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;GTIS Partners;Asset Management;111;4;3;0;2;256;250;22/07/2021 17:07;2;23/06/2022 00:00;rrodrigues@vincipartners.com;true
Vinci Capital Partners (controle);Asset Management;Hinove;Fertilizantes & Defensivos;111;1;1;0;0;325;325;;0;03/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;iByte;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Charrua;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;LanLimp 2022;Distribuição industrial;111;1;1;0;2;;;01/02/2021 07:11;2;10/12/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Kanada Agricola;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Liderança;Serviços de Engenharia e TIC;111;2;1;0;0;120;120;;1;27/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Pneubrás;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Packing Group;Embalagens;111;1;0;0;0;600;600;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Clínica Ibis;Clínicas. Hospitais e Centros de Tratamento;111;1;2;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Luft;Logistica;111;2;1;0;0;800;800;;0;30/10/2020 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Flash Courier;Logistica;111;2;1;0;0;800;800;;0;30/10/2020 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Barrfab;Dental & Medical devices (produção e distribuição);111;3;4;0;0;160;150;;1;03/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Sweet Fruits;Frutas. Legumes e Verduras;111;0;1;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Zanthus;Software;111;2;3;2;0;375;375;;2;04/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Piticas;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Locar 2020;Locação de Ativos;111;0;1;0;0;500;500;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Echope;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Squadra IT;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Magnamed;Dental & Medical devices (produção e distribuição);111;3;4;0;0;160;150;;1;03/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;UDDO;Clínicas. Hospitais e Centros de Tratamento;111;1;2;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;True Securitizadora;Asset Management;111;4;3;0;2;256;250;22/07/2021 17:07;2;23/06/2022 00:00;rrodrigues@vincipartners.com;true
Vinci Capital Partners (controle);Asset Management;K21;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Social Bank;Fintech;111;1;3;2;0;;;;1;31/08/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Vortx;Fintech;111;1;3;2;0;;;;1;31/08/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Pixit;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Softfilm;Embalagens;111;1;0;0;0;600;600;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Social Bank;Fintech;111;1;3;2;0;;;;1;31/08/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Fibracem;Infraestrutura de Telecom;111;0;0;0;0;350;350;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;VitalForce;Fertilizantes & Defensivos;111;1;1;0;0;325;325;;0;03/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Nativa Agro;Fertilizantes & Defensivos;111;1;1;0;0;325;325;;0;03/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Esquadra;Serviços Terceirizados (limpeza. segurança e catering);111;0;2;0;0;700;700;;1;24/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Globalbev;Bebidas;111;1;2;0;0;100;100;;0;21/09/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Microxisto;Fertilizantes & Defensivos;111;1;1;0;0;325;325;;0;03/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;CDF;Serviços Terceirizados (limpeza. segurança e catering);111;0;2;0;0;700;700;;1;24/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Sampel;Indústria Automotiva;111;1;1;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Renar Móveis;Materiais Básicos e Produtos para Construção (Indústria e Varejo);111;1;1;1;0;250;150;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;E-law 2021;Software;111;2;3;2;0;375;375;;2;04/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Kawa;Asset Management;111;4;3;0;2;256;250;22/07/2021 17:07;2;23/06/2022 00:00;rrodrigues@vincipartners.com;true
Vinci Capital Partners (controle);Asset Management;Belenus;Materiais Básicos e Produtos para Construção (Indústria e Varejo);111;1;1;1;0;250;150;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Sementes e Cereais Bortoluzzi;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Porto Brasil;Materiais Básicos e Produtos para Construção (Indústria e Varejo);111;1;1;1;0;250;150;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Terra Zoo;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Pacífico Sul;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Algar Tech 2021;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Marca Agro;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Uniagro;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Parque Memorial Japi;Deathcare (Cemitério e Planos funerários);111;1;1;1;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Ponto Rural;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Newdrop;Industria e distribuição de Químicos & Ingredientes;111;0;2;1;0;;;;0;01/12/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;RBR Asset;Asset Management;111;4;3;0;2;256;250;22/07/2021 17:07;2;23/06/2022 00:00;rrodrigues@vincipartners.com;true
Vinci Capital Partners (controle);Asset Management;Piramidal 2020;Industria e distribuição de Químicos & Ingredientes;111;0;2;1;0;;;;0;01/12/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Plenum;Dental & Medical devices (produção e distribuição);111;3;4;0;0;160;150;;1;03/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Parque das Flores;Dental & Medical devices (produção e distribuição);111;3;4;0;0;160;150;;1;03/06/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Suhai 2020;Seguradoras & Corretoras de Seguros;111;0;1;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Sorocaps;Indústria Farmacêutica;111;1;1;0;0;200;200;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Siagri + Datacoper;Software;111;2;3;2;0;375;375;;2;04/04/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Ventisol;Indústria Pesada. Máquinas e Equipamentos;111;1;1;0;0;1.200;1.200;;0;06/05/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Doce Mineiro;Lácteos. sorvetes e refrigerados;111;1;0;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Pet Society;Pet (Indústria e Varejo);111;1;0;0;0;100;100;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Emal;Fertilizantes. especiais. químicos e sementes OLD;111;0;1;0;0;;;;1;23/03/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;PHB Solar;Energia;111;0;2;0;0;200;200;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Raccoon;Marketing Services;111;1;1;0;0;200;200;;1;26/05/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Colégio GGE;Ensino Básico;111;1;0;0;1;;;04/12/2020 00:00;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Max Milhas;Varejo Especializado;111;7;5;1;1;255;260;10/06/2021 08:28;1;25/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Inmetrics 2022;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Suprimed;Saúde animal;111;1;0;0;1;;;16/03/2021 16:35;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Aldo;Distribuição industrial;111;1;1;0;2;;;01/02/2021 07:11;2;10/12/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Esfera Energia;Energia;111;0;2;0;0;200;200;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Framework;IT Services;111;5;4;1;2;250;175;25/07/2022 18:41;0;11/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;BR Media;Marketing Services;111;1;1;0;0;200;200;;1;26/05/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Terra + Camarotti;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Recebíveis NYC | Hotel Pirâmide (Recebíveis);Hotelaria;111;0;1;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Rancho Alegre;Nutrição animal;111;0;0;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Bexs;Fintech;111;1;3;2;0;;;;1;31/08/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Bela Vista 2018;Mercearia Seca. Condimentos e Produtos Saudáveis;111;0;0;0;0;;;;0;;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Buson (Guichê Virtual);Marketplace Diversos;111;0;1;0;0;100;100;;0;02/07/2021 00:00;rrodrigues@vincipartners.com;false
Vinci Capital Partners (controle);Asset Management;Terra Nova;Distribuição Agro;111;0;3;0;1;148.57;150;28/01/2021 19:21;2;16/02/2022 00:00;rrodrigues@vincipartners.com;false
